ofb fscore origsort instid indnum arrow back6 back5 back4 back3 back2 bb1 bb2 
1  1    1   1  1A  DOWN . 6.5  8.4  8.1  6.1  6.7   .    
2  72   2   2  1A  Up   . 13.5 15.1 13.6 13.4 16.0  .    
3  143  3   3  1A  Up   . 3.1  6.1  5.7  6.8  8.4   .    
5  214  5   4  1A  Up   . 34.2 33.9 35.2 34.8 37.5  .    
6  285  6   5  1A  Up   . 47.5 51.6 50.6 53.7 54.3  .    
7  356  7   6  1A  Up   . 1.9  2.4  2.5  2.8  2.8   .    
8  427  8   7  1A  Up   . 8.7  8.7  9.6  9.7  9.5   .    
9  498  9   8  1A  DOWN . 17.6 18.5 17.9 17.1 15.4  .    
10 569  10  9  1A  Up   . 12.3 10.7 11.1 14.7 14.6  .    
11 640  11  10 1A  Up   . 46.4 46.4 45.1 43.6 47.0  .    
12 711  12  11 1A  Up   . 66.7 65.6 63.2 65.1 65.1  .    
13 782  13  12 1A  Up   . 61.1 61.0 62.5 65.0 65.4  .    
15 853  15  13 1A  Up   . 59.2 57.7 55.7 55.5 58.5  .    
16 924  16  14 1A  Up   . 45.5 48.7 50.7 45.5 49.9  .    
17 995  17  15 1A  Up   . 59.5 61.1 60.2 59.6 63.9  .    
18 1066 18  16 1A  Up   . 65.6 59.8 61.3 64.1 64.1  .    
19 1137 19  17 1A  Up   . 56.1 60.3 60.3 54.5 60.3  .    
21 1208 21  18 1A  Up   . 51.5 49.7 51.8 51.1 51.9  .    
22 1279 22  19 1A  Up   . 8.7  8.4  8.2  7.8  8.2   .    
23 1350 23  20 1A  Up   . 39.5 38.0 38.6 39.5 42.2  .    
24 1421 24  21 1A  Up   . 8.1  8.1  8.2  9.3  13.6  .    
25 1492 25  22 1A  Up   . 14.4 12.2 15.1 14.8 16.1  .    
26 1563 26  23 1A  Up   . 56.0 56.4 54.5 54.1 56.1  .    
27 1634 27  24 1A  DOWN . 12.2 8.9  8.9  9.6  9.5   .    
28 1705 28  25 1A  Up   . 56.2 55.2 54.1 53.6 53.5  .    
29 1776 29  26 1A  Up   . 50.1 52.4 55.3 54.8 54.8  .    
30 1847 30  27 1A  Up   . 46.0 43.4 44.9 46.0 45.4  .    
31 1918 31  28 1A  Up   . 51.7 52.8 53.8 54.6 55.0  .    
32 1989 32  29 1A  Up   . 55.3 57.9 56.0 57.6 56.5  .    
33 2060 33  30 1A  Up   . 50.4 51.6 51.2 53.4 54.2  .    
34 2131 34  31 1A  Up   . 52.5 51.0 50.6 51.6 53.8  .    
35 2202 35  32 1A  Up   . 30.5 35.9 29.5 29.3 35.3  .    
36 2273 36  33 1A  Up   . 48.5 49.9 51.5 52.2 54.5  .    
38 10   334 1  2A1 Up   . .    .    .    .    100.0 100.0 
39 81   335 2  2A1 Up   . .    .    .    .    100.0 100.0 
40 152  336 3  2A1 Up   . .    .    .    .    100.0 100.0 
42 223  338 4  2A1 Up   . .    .    .    .    100.0 100.0 
43 294  339 5  2A1 Up   . .    .    .    .    100.0 100.0 
45 436  341 7  2A1 Up   . .    .    .    .    100.0 100.0 
46 507  342 8  2A1 Up   . .    .    .    .    100.0 100.0 
47 578  343 9  2A1 Up   . .    .    .    .    99.7  100.0 
48 649  344 10 2A1 Up   . .    .    .    .    100.0 100.0 
49 720  345 11 2A1 Up   . .    .    .    .    100.0 100.0 
50 791  346 12 2A1 Up   . .    .    .    .    100.0 100.0 
52 862  348 13 2A1 Up   . .    .    .    .    100.0 100.0 
53 933  349 14 2A1 Up   . .    .    .    .    100.0 100.0
