M. Jordan      198 30 50 84 .83 39.32 .14
R. Miller      201    48 88 .59 36.02 .09
D. West        198 26 52 84 .50 38.80 .07
J. Dumars      191 30 47 86 .58 40.71 .10
M. Richmond    196 28 47 85 .57 38.40 .13
C. Drexler     201 31 43    .58 34.10 .17
J. Hornacek    193 30 47 87 .53 36.20 .19
H. Hawkins     191 27 47 86 .55 36.75 .11
S. Skiles      185 29 47 89 .40 38.43 .24
S. Smith       203 24 45 79 .48 33.54 .17
M. Williams    188 27 45 91 .43 35.01 .25
R. Harper      198 29 45 77 .49 36.67 .12
M. Abdul-Rauf  185 24 45 94 .57 33.88 .12
T. Porter      191 30 45 84 .51 35.59 .15
M. Jackson     191 28 49 80 .38 38.01 .23
J. Malone      193 32 49 85 .56 32.38 .05
K. Gill        196 25 45 77 .48 35.22 .11
M. Price       183 29 48 95 .57 31.73 .25
R. Pierce      193 34 49 89 .63 28.81 .10
L. Sprewell    196 23 46 75 .43 35.60 .11
S. Threatt     188 32 51 82 .43 35.28 .20
K. Smith       191 28 52 88 .44 29.54 .18
J. Starks      196 28 43 80 .56 31.35 .16
J. Jackson     198 23 40 74 .49 33.50 .14
D. Harper      193 32 42 76 .53 34.56 .16
T. Hardaway    183 27 45 77 .54 39.53 .27
D. Ainge       196 34 46 85 .44 26.70 .12
B. J. Armstrong188 26 50 86 .40 30.77 .13
G. Wilkins     198 30 45 84 .43 25.67 .09
M. Adams       178 30 44 86 .41 36.22 .21
K. Anderson    185 23 44 78 .46 36.55 .22
J. Stockton    185 31 49 80 .43 34.91 .34
K. Edwards     191 28 47 84 .49 28.35 .11
K. Johnson     185 27 50 82 .48 33.53 .23
G. Payton      193 25 49 77 .43 31.07 .16
I. Thomas      185 32 42 74 .48 36.53 .23
S. Marciulionis196 29 54 76 .62 27.87 .13
R. Blackman    198 34 44 79 .40 24.31 .11
V. Maxwell     193 28 41 72 .44 31.26 .13
B. Smith       196 23 45 83 .40 22.18 .06
M. Blaylock    185 26 43 73 .38 35.25 .24
A. Bowie       198 30 47 80 .35 22.87 .10
D. Rivers      193 32 44 82 .32 24.49 .22
B. Shaw        198 27 39 78 .31 23.57 .15
R. Strickland  191 27 49 72 .43 31.72 .23
B. Coles       188 25 46 81 .38 27.90 .16
L. Smith       191 24 46 86 .41 22.74 .12
V. D. Negro    193 27 51 86 .36 20.62 .19
E. Murdock     185 25 47 78 .47 30.46 .25
P. Richardson  185 27 48 74 .32 32.38 .24
J. Hamphries   191 31 44 78 .34 25.75 .16
S. Webb        170 30 43 85 .43 33.84 .21
D. Brown       185 25 47 79 .39 27.83 .21
R. Chapman     193 26 48 81 .58 21.67 .09
A. Peeler      193 24 47 79 .48 21.79 .10
L. Daniels     201 26 44 73 .45 20.17 .09
A. Robertson   193 31 46 66 .31 29.07 .06
M. Macon       196 24 42 70 .31 24.28 .11
T. Legler      193 27 44 80 .46 19.24 .07
A. Johnson     180 28 50 79 .32 27.07 .28
H. Miner       196 22 48 76 .54 18.95 .05
J. Dawkins     188 30 44 80 .41 21.59 .21
D. Young       193 31 41 88 .22 13.27 .14
H. Davis       196 23 44 80 .33 16.30 .10
R. Brown       191 25 46 73 .33 23.01 .11
V. Fleming     196 31 51 73 .47 20.31 .15
J. Paxson      188 33 45 85 .24 17.46 .13
G. Grant       191 28 44 74 .30 21.95 .22
M. Cheeks      188 37 55 89 .25 14.57 .21
T. Bogues      160 28 45 83 .29 34.55 .25
D. Overton     191 24 47 73 .37 22.00 .16
T. Tucker      196 34 49 82 .39 13.37 .09
R. Pack        188 24 47 77 .51 20.51 .21
T. Brandon     183 28 48 83 .44 19.78 .19
S. Floyd       191 33 41 79 .40 16.36 .15
C. Smith       191 23 43 79 .27 16.03 .16
G. Anthony     188 26 42 67 .27 24.27 .23
S. Brooks      180 28 48 83 .34 18.49 .16
D. Barros      180 26 45 83 .44 17.76 .12
S. Henson      185 25 39 85 .30 13.31 .22
N. Knight      185 26 39 78 .35 17.41 .16
T. Smith       193 25 48 76 .44 13.67 .08
M. Wiley       193 27 38 65 .26 17.46 .18
F. Johnson     185 35 44 78 .30 14.38 .17
J. Battle      188 31 42 78 .45 12.12 .11
B. Price       185 25 36 79 .31 12.63 .18
J. Les         180 30 43 84 .37 12.24 .19
J. Barry       196 24 37 67 .37 12.00 .12
S. Douglas     185 27 50 56 .32 24.46 .26
R. Robinson    188 27 42 57 .42 20.06 .20
K. Jennings    170 25 60 78 .51 17.00 .17
T. Bennett     183 24 42 73 .32 11.58 .16
D. Cooper      185 24 39 71 .24 10.08 .23
L. Mayberry    185 23 46 57 .28 18.56 .18
L. Green       185 23 44 63 .38 11.81 .19
D. Walker      193 32 35 46 .16 13.81 .10
