Brand,Nicotine,Tar,Weight,CO
Alpine,0.86,14.1,0.9853,13.6
Benson&Hedges,1.06,16,1.0938,16.6
BullDurham,1.4,29.8,1.165,23.5
CamelLights,0.67,8,0.928,10.2
Carlton,0.4,4.1,0.9462,5.4
Chesterfield,1.04,15,0.8885,15
GoldenLights,0.76,8.8,1.0267,9
Kent,0.95,12.4,0.9225,12.3
Kool,1.12,16.6,0.9372,16.3
L&M,1.02,14.9,0.8858,15.4
LarkLights,1.01,13.7,0.9643,13
Marlboro,0.9,15.1,0.9316,14.4
Merit,0.57,7.8,0.9705,10
MultiFilter,0.78,11.4,1.124,10.2
NewportLights,0.74,9,0.8517,9.5
Now,0.13,1,0.7851,1.5
OldGold,1.26,17,0.9186,18.5
PallMallLight,1.08,12.8,1.0395,12.6
Raleigh,0.96,15.8,0.9573,17.5
SalemUltra,0.42,4.5,0.9106,4.9
Tareyton,1.01,14.5,1.007,15.9
TRUE,0.61,7.3,0.9806,8.5
ViceroyRichLight,0.69,8.6,0.9693,10.6
VirginiaSlims,1.02,15.2,0.9496,13.9
WinstonLights,0.82,12,1.1184,14.9
