year,defense,new d,rgdp,new r
1929,4.14481475,0.000246571,1109.448,-0.085078345
1930,4.418372524,1.74113E-05,1015.058,-0.064056438
1931,4.436046014,-1.4008E-05,950.037,-0.128986555
1932,4.422737876,-0.000229823,827.495,-0.012362612
1933,4.232560147,-0.000491999,817.265,0.108078775
1934,3.830466933,0.000854416,905.594,0.089043214
1935,4.604221254,0.000774971,986.231,0.128833914
1936,5.368521982,4.82221E-05,1113.291,0.051247158
1937,5.422207201,0.000194586,1170.344,-0.033135557
1938,5.649939904,0.00050929,1131.564,0.080252641
1939,6.226233774,0.003713201,1222.375,0.088169342
1940,10.7651582,0.033861886,1330.151,0.177143046
1941,55.80658009,0.091242082,1565.778,0.188865855
1942,198.6714251,0.068518429,1861.500,0.170233683
1943,326.21848,0.02141455,2178.390,0.079525246
1944,372.8677227,-0.021405241,2351.627,-0.009780888
1945,322.5305801,-0.104157128,2328.626,-0.116055992
1946,79.98758387,-0.012124188,2058.375,-0.011446408
1947,55.0314577,-0.000324539,2034.814,0.041132998
1948,54.37108021,0.000898266,2118.512,-0.005642168
1949,56.27406801,-0.000186996,2106.559,0.086865357
1950,55.88014954,0.021258193,2289.546,0.080457872
1951,104.5517598,0.012975154,2473.758,0.040885163
1952,136.64915,0.003237254,2574.898,0.046881857
1953,144.9847482,-0.007099676,2695.614,-0.00578384
1954,125.8467614,-0.003991374,2680.023,0.071333343
1955,115.1497867,-0.000200526,2871.198,0.021311662
1956,114.5740378,0.001758237,2932.388,0.021055877
1957,119.7298695,0,2994.132,-0.007408157
1958,119.7298695,-0.001087739,2971.951,0.069392463
1959,116.497163,-0.000293242,3178.182,0.025734524
1960,115.5651857,0.001807938,3259.971,0.025636731
1961,121.4590102,0.002433869,3343.546,0.061271177
1962,129.5967638,-0.000803495,3548.409,0.043550504
1963,126.745635,-0.001061079,3702.944,0.057612537
1964,122.8165204,-0.000439047,3916.280,0.064977479
1965,121.0970891,0.003745495,4170.750,0.065960079
1966,136.7186136,0.003843993,4445.853,0.027425108
1967,153.8084403,0.000538759,4567.781,0.049156034
1968,156.2693753,-0.00136955,4792.315,0.031248363
1969,149.7060615,-0.00248396,4942.067,0.001860558
1970,137.4301645,-0.002831172,4951.262,0.032933624
1971,123.4122877,-0.001665019,5114.325,0.052588954
1972,114.8968399,-0.001088507,5383.282,0.056457195
1973,109.037101,-0.000191723,5687.207,-0.005405465
1974,107.94673,-0.000190838,5656.465,-0.00205464
1975,106.8672627,-0.000113591,5644.843,0.053881392
1976,106.2260591,0.000178561,5948.995,0.046241592
1977,107.2883197,0.000103426,6224.086,0.055353027
1978,107.9320497,0.000410787,6568.608,0.031661503
1979,110.6303509,0.000587714,6776.580,-0.002567519
1980,114.6130435,0.001051312,6759.181,0.025377187
1981,121.7190522,0.001229359,6930.710,-0.018028745
1982,130.2393859,0.001320429,6805.758,0.045839273
1983,139.2259035,0.000978022,7117.729,0.0723662
1984,146.1871987,0.00162796,7632.812,0.04169656
1985,158.6131106,0.001376456,7951.074,0.034626517
1986,169.5574152,0.001009958,8226.392,0.034595726
1987,177.8657285,-0.000104492,8510.990,0.041770464
1988,176.9763999,-5.98804E-05,8866.498,0.036726563
1989,176.4454707,5.75858E-05,9192.134,0.018859603
1990,176.9748071,-0.000170068,9365.494,-0.001082591
1991,175.3820338,-0.000862348,9355.355,0.035224425
1992,167.3144603,-0.000881067,9684.892,0.027528443
1993,158.7814228,-0.000781821,9951.502,0.040288391
1994,151.0011331,-0.000583442,10352.432,0.026842871
1995,144.9610878,-0.000218185,10630.321,0.037725013
1996,142.6417104,-0.000362056,11031.350,0.044472163
1997,138.6477425,-0.000252701,11521.938,0.044814076
1998,135.7361399,0.000157855,12038.283,0.04753236
1999,137.6364458,-9.823E-05,12610.491,0.04127484
2000,136.3977178,0.000342786,13130.987,0.009983408
2001,140.8988425,0.000796814,13262.079,0.017416953
2002,151.4662557,0.00092049,13493.064,0.028612108
2003,163.8864887,0.000673063,13879.129,0.037988911
2004,173.2280185,0.000276561,14406.382,0.035132138
2005,177.212263,0.000190135,14912.509,0.028549723
2006,180.0476592,0.000328677,15338.257,0.018761715
2007,185.0889936,0.000817299,15626.029,-0.001365798
2008,197.8601342,0.000722733,15604.687,-0.025367571
2009,209.1381618,0.000398782,15208.834,0.025637666
2010,215.2031685,-0.00028972,15598.753,0.015508355
2011,210.683902,-0.000452207,15840.664,0.022495459
2012,203.5206493,-0.000841877,16197.007,0.018420811
2013,189.8847658,-0.000471967,16495.369,0.025259756
2014,182.0994904,-0.000226116,16912.038,0.030755134
2015,178.2754011,-5.1134E-05,17432.170,0.017114278
2016,177.3840241,8.00356E-05,17730.509,0.023326798
2017,178.8030963,0.000325202,18144.105,0.029964608
2018,184.7035985,0.000553485,18687.786,195.047
2019,195.047,-0.010216345,19091.662,
