countrycode,country,growth_1870_1979,growth_1870_2016,lngdp_1870
ARG,Argentina,1.581421754,1.36357835,7.829630389
CHL,Chile,1.387304042,1.773398344,7.242082359
IRL,Ireland,1.422334084,1.888906697,7.777373603
NZL,New Zealand,1.263342419,1.304777414,8.362875831
PRT,Portugal,1.899962126,1.855937756,7.166265974
ESP,Spain,1.856276002,1.810994187,7.864804003
AUS,Australia,1.353967746,1.442304882,8.364508104
AUT,Austria,1.813770841,1.748078599,7.609862201
BEL,Belgium,1.503656623,1.488038178,8.122074375
CAN,Canada,2.06954055,1.866753419,7.970394907
DNK,Denmark,1.866124111,1.727640657,7.895063498
FIN,Finland,2.184817774,2.058135152,7.121252453
FRA,France,1.884677251,1.703690347,7.776115477
DEU,Germany,1.861790591,1.703663499,7.767263997
ITA,Italy,1.845044952,1.619141673,7.31521839
JPN,Japan,2.644394307,2.380128191,6.892641641
NLD,Netherlands,1.526511251,1.515117182,7.964503364
NOR,Norway,2.161322461,2.055803004,7.647308832
SWE,Sweden,2.195414456,2.039996818,7.499423291
CHE,Switzerland,1.685235388,1.49674342,7.981733287
GBR,United Kingdom,1.175275661,1.285366561,8.254788926
USA,United States,1.909676324,1.816821488,8.225770799
