newid,ln_spending,ln_income,weights
03649924,8,10,10234
03649934,9,10,17071
03649954,9,12,16282
03649964,8,10,6890
03650014,9,11,10428
03650024,8,11,13405
03650034,7,9,11729
03650054,8,10,6925
03650114,8,11,7268
03650134,11,11,10965
03650144,10,12,16286
03650154,8,10,17372
03650184,10,12,9442
03650194,13,12,10509
03650214,9,12,15961
03650244,10,12,12824
03650264,12,11,8934
03650314,9,10,8993
03650354,8,11,7644
03650364,10,11,17723
03650374,7,10,11941
03650384,10,11,5221
03650394,8,11,10982
03650414,10,10,8957
03650464,10,12,11384
03650514,12,13,14369
03650524,8,10,6793
03650534,10,12,11023
03650544,11,12,9867
03650554,8,11,13329
03650564,10,11,11721
03650604,10,11,12527
03650614,8,12,12276
03650644,10,11,9285
03650684,7,10,8065
03650724,7,9,7409
03650744,10,12,6986
03650754,10,8,8829
03650784,8,10,14717
03650794,9,10,15011
03650834,8,11,11538
03650844,8,11,6706
03650854,10,11,12528
03650914,11,12,8043
03650934,10,11,13261
03650944,10,11,4128
03650954,9,10,9852
03651004,10,11,8437
03651034,11,11,19077
03651044,9,10,9849
03651084,10,10,3083
03651134,8,10,10569
03651154,9,10,11063
03651194,12,11,12552
03651204,8,11,12224
03651224,10,10,10089
03651284,8,11,6758
03651294,8,12,13594
03651304,8,11,9173
03651324,8,11,4500
03651334,7,9,11791
03651344,9,10,11626
03651374,9,10,10674
03651424,11,12,13950
03651464,8,11,7355
03651474,10,11,11737
03651484,10,11,13076
03651524,8,10,13442
03651544,11,11,7832
03651554,10,11,7932
03651574,10,11,10989
03651584,9,11,15752
03651604,8,11,8798
03651654,11,12,10227
03651664,11,11,8885
03651684,12,13,8802
03651724,11,12,5342
03651744,9,10,8696
03651754,10,9,5835
03651774,10,11,11504
03651784,9,10,11785
03651794,8,10,12396
03651834,8,11,21256
03651844,8,10,13212
03651884,11,11,9278
03651894,8,11,12165
03651944,10,11,12359
03651954,8,10,11797
03651964,7,10,8251
03651974,11,12,7630
03651984,10,12,11009
03651994,8,11,24339
03652004,11,11,6106
03652064,9,11,14599
03652084,11,11,8753
03652104,8,10,14217
03652144,11,11,5325
03652164,11,12,12168
03652194,10,11,13479
03652204,10,7,1533
03652224,10,12,11405
03652254,8,11,17865
03652304,8,9,15742
03652324,8,11,12272
03652334,9,11,16910
03652344,11,11,9926
03652354,10,11,10776
03652374,9,10,11604
03652384,8,,12735
03652434,9,11,10011
03652474,10,11,13818
03652514,9,11,12841
03652544,10,10,5221
03652574,11,9,10181
03652584,11,11,11767
03652594,11,11,8537
03652644,8,11,7288
03652654,11,12,8217
03652674,7,9,8264
03652684,10,10,8795
03652694,10,11,14790
03652714,10,12,13426
03652734,10,11,16667
03652764,10,12,13971
03652774,9,11,13640
03652794,8,10,11155
03652834,12,12,8578
03652864,8,11,7054
03652894,8,12,6393
03652934,8,10,7524
03652954,8,10,12405
03652974,10,11,7490
03652984,10,11,13705
03653004,7,9,8120
03653104,9,11,10328
03653124,9,11,13411
03653134,9,11,10282
03653204,11,11,11323
03653234,11,12,12399
03653284,9,11,10056
03653294,11,11,10024
03653324,11,12,9375
03653364,10,11,12989
03653404,8,9,9308
03653434,11,12,12192
03653514,9,8,15769
03653534,8,10,13101
03653564,10,10,11130
03653574,11,11,10544
03653584,8,7,8088
03653624,11,12,8855
03653634,11,12,18588
03653664,10,11,9716
03653724,10,10,8002
03653754,10,11,13186
03653774,9,11,2997
03653784,10,11,9774
03653804,9,11,10720
03653814,10,12,10782
03653824,12,11,6082
03653844,11,12,11009
03653884,9,9,11999
03653914,8,10,6524
03653934,9,11,14124
03653944,9,11,14522
03653964,8,11,14882
