eff,change_eff,three_month,change_3month,six_month,change_6month,one_year,change_1year,two_year,change_2year,five_year,change_5year,ten_year,change_10year,twenty_year,change_20year,thirty_year,change_30year,year,month,day,target,change_target
10.18,-0.48,7.58,-0.10,9.10,-0.13,9.72,-0.14,11.69,-0.27,11.95,-0.17,11.99,-0.14,11.77,-0.10,11.82,-0.06,1982.00,9.00,27.00,10.25,0.00
9.70,0.18,7.48,0.10,8.97,-0.14,9.58,-0.10,11.42,-0.04,11.78,-0.02,11.85,-0.05,11.67,0.00,11.76,0.03,1982.00,9.00,28.00,10.25,0.00
9.88,2.29,7.58,0.04,8.83,-0.07,9.48,-0.02,11.38,-0.15,11.76,-0.07,11.80,-0.07,11.67,-0.02,11.79,0.00,1982.00,9.00,29.00,10.25,0.00
12.17,-1.30,7.62,-0.27,8.76,-0.16,9.46,-0.15,11.23,-0.10,11.69,-0.19,11.73,-0.22,11.65,-0.18,11.79,-0.14,1982.00,9.00,30.00,10.25,-0.25
10.87,0.00,7.35,0.00,8.60,0.00,9.31,0.00,11.13,0.00,11.50,0.00,11.51,0.00,11.47,0.00,11.65,0.00,1982.00,10.00,1.00,10.00,0.00
10.87,0.00,7.35,0.00,8.60,0.00,9.31,0.00,11.13,0.00,11.50,0.00,11.51,0.00,11.47,0.00,11.65,0.00,1982.00,10.00,2.00,10.00,0.00
10.87,0.03,7.35,0.59,8.60,0.59,9.31,0.39,11.13,0.38,11.50,0.23,11.51,0.21,11.47,0.20,11.65,0.18,1982.00,10.00,3.00,10.00,0.00
10.90,-0.63,7.94,0.20,9.19,-0.01,9.70,-0.04,11.51,-0.09,11.73,-0.03,11.72,-0.03,11.67,-0.03,11.83,-0.02,1982.00,10.00,4.00,10.00,0.00
10.27,-0.82,8.14,-0.09,9.18,-0.12,9.66,-0.16,11.42,-0.21,11.70,-0.18,11.69,-0.19,11.64,-0.16,11.81,-0.12,1982.00,10.00,5.00,10.00,0.00
9.45,0.37,8.05,-0.29,9.06,-0.53,9.50,-0.69,11.21,-0.75,11.52,-0.71,11.50,-0.59,11.48,-0.48,11.69,-0.40,1982.00,10.00,6.00,10.00,-0.50
9.82,-0.19,7.76,-0.01,8.53,-0.17,8.81,-0.27,10.46,-0.31,10.81,-0.10,10.91,-0.08,11.00,-0.04,11.29,-0.10,1982.00,10.00,7.00,9.50,0.00
9.63,0.00,7.75,0.00,8.36,0.00,8.54,0.00,10.15,0.00,10.71,0.00,10.83,0.00,10.96,0.00,11.19,0.00,1982.00,10.00,8.00,9.50,0.00
9.63,0.00,7.75,0.00,8.36,0.00,8.54,0.00,10.15,0.00,10.71,0.00,10.83,0.00,10.96,0.00,11.19,0.00,1982.00,10.00,9.00,9.50,0.00
9.63,0.00,7.75,0.00,8.36,0.00,8.54,0.00,10.15,0.00,10.71,0.00,10.83,0.00,10.96,0.00,11.19,0.00,1982.00,10.00,10.00,9.50,0.00
9.63,-0.43,7.75,-0.37,8.36,-0.52,8.54,-0.47,10.15,-0.46,10.71,-0.31,10.83,-0.30,10.96,-0.37,11.19,-0.34,1982.00,10.00,11.00,9.50,0.00
9.20,0.49,7.38,0.04,7.84,-0.14,8.07,0.03,9.69,-0.01,10.40,-0.12,10.53,-0.14,10.59,-0.12,10.85,-0.10,1982.00,10.00,12.00,9.50,0.00
9.69,-0.12,7.42,0.12,7.70,0.12,8.10,0.14,9.68,0.16,10.28,0.24,10.39,0.22,10.47,0.15,10.75,0.11,1982.00,10.00,13.00,9.50,0.00
9.57,-0.14,7.54,0.02,7.82,0.09,8.24,0.10,9.84,0.16,10.52,0.12,10.61,0.14,10.62,0.17,10.86,0.17,1982.00,10.00,14.00,9.50,0.00
9.43,0.00,7.56,0.00,7.91,0.00,8.34,0.00,10.00,0.00,10.64,0.00,10.75,0.00,10.79,0.00,11.03,0.00,1982.00,10.00,15.00,9.50,0.00
9.43,0.00,7.56,0.00,7.91,0.00,8.34,0.00,10.00,0.00,10.64,0.00,10.75,0.00,10.79,0.00,11.03,0.00,1982.00,10.00,16.00,9.50,0.00
9.43,0.16,7.56,-0.13,7.91,-0.15,8.34,-0.17,10.00,-0.20,10.64,-0.22,10.75,-0.17,10.79,-0.12,11.03,-0.13,1982.00,10.00,17.00,9.50,0.00
9.59,-0.17,7.43,0.05,7.76,0.05,8.17,0.02,9.80,0.02,10.42,-0.04,10.58,-0.02,10.67,-0.01,10.90,-0.03,1982.00,10.00,18.00,9.50,0.00
9.42,0.39,7.48,0.08,7.81,0.09,8.19,0.08,9.82,-0.10,10.38,0.14,10.56,0.13,10.66,0.14,10.87,0.04,1982.00,10.00,19.00,9.50,0.00
9.81,-0.32,7.56,0.01,7.90,0.07,8.27,0.06,9.72,0.07,10.52,0.02,10.69,0.00,10.80,-0.01,10.91,0.01,1982.00,10.00,20.00,9.50,0.00
9.49,-0.07,7.57,0.07,7.97,0.22,8.33,0.12,9.79,0.08,10.54,0.12,10.69,0.12,10.79,0.13,10.92,0.11,1982.00,10.00,21.00,9.50,0.00
9.42,0.00,7.64,0.00,8.19,0.00,8.45,0.00,9.87,0.00,10.66,0.00,10.81,0.00,10.92,0.00,11.03,0.00,1982.00,10.00,22.00,9.50,0.00
9.42,0.00,7.64,0.00,8.19,0.00,8.45,0.00,9.87,0.00,10.66,0.00,10.81,0.00,10.92,0.00,11.03,0.00,1982.00,10.00,23.00,9.50,0.00
9.42,0.13,7.64,0.23,8.19,0.29,8.45,0.25,9.87,0.22,10.66,0.31,10.81,0.30,10.92,0.22,11.03,0.22,1982.00,10.00,24.00,9.50,0.00
9.55,-0.15,7.87,0.09,8.48,-0.12,8.70,-0.14,10.09,-0.20,10.97,-0.23,11.11,-0.24,11.14,-0.12,11.25,-0.08,1982.00,10.00,25.00,9.50,0.00
9.40,0.01,7.96,0.04,8.36,0.08,8.56,0.04,9.89,0.05,10.74,0.02,10.87,0.03,11.02,-0.01,11.17,0.06,1982.00,10.00,26.00,9.50,0.00
9.41,0.03,8.00,-0.09,8.44,-0.12,8.60,-0.10,9.94,-0.05,10.76,-0.15,10.90,-0.13,11.01,-0.11,11.23,-0.11,1982.00,10.00,27.00,9.50,0.00
9.44,-0.03,7.91,-0.01,8.32,0.05,8.50,0.04,9.89,-0.04,10.61,-0.03,10.77,-0.06,10.90,-0.11,11.12,-0.11,1982.00,10.00,28.00,9.50,0.00
9.41,0.00,7.90,0.00,8.37,0.00,8.54,0.00,9.85,0.00,10.58,0.00,10.71,0.00,10.79,0.00,11.01,0.00,1982.00,10.00,29.00,9.50,0.00
9.41,0.00,7.90,0.00,8.37,0.00,8.54,0.00,9.85,0.00,10.58,0.00,10.71,0.00,10.79,0.00,11.01,0.00,1982.00,10.00,30.00,9.50,0.00
9.41,0.02,7.90,-0.09,8.37,-0.09,8.54,-0.16,9.85,-0.17,10.58,-0.17,10.71,-0.15,10.79,-0.19,11.01,-0.17,1982.00,10.00,31.00,9.50,0.00
9.43,-0.18,7.81,0.00,8.28,0.00,8.38,0.00,9.68,0.00,10.41,0.00,10.56,0.00,10.60,0.00,10.84,0.00,1982.00,11.00,1.00,9.50,0.00
9.25,0.43,7.81,-0.02,8.28,-0.04,8.38,0.00,9.68,-0.03,10.41,-0.11,10.56,-0.10,10.60,-0.07,10.84,-0.12,1982.00,11.00,2.00,9.50,0.00
9.68,-0.13,7.79,-0.06,8.24,-0.04,8.38,-0.06,9.65,-0.01,10.30,-0.02,10.46,-0.04,10.53,-0.05,10.72,-0.06,1982.00,11.00,3.00,9.50,0.00
9.55,-0.15,7.73,0.05,8.20,0.04,8.32,0.04,9.64,0.09,10.28,0.08,10.42,0.06,10.48,0.10,10.66,-0.07,1982.00,11.00,4.00,9.50,0.00
9.40,0.00,7.78,0.00,8.24,0.00,8.36,0.00,9.73,0.00,10.36,0.00,10.48,0.00,10.58,0.00,10.59,0.00,1982.00,11.00,5.00,9.50,0.00
