date,eff,inf,og
1954-07-01,1.03,-1.0,-1.718331568
1954-10-01,0.99,-1.2,-0.409878669
1955-01-01,1.34,0.5,1.800958624
1955-04-01,1.50,-0.5,2.772941391
1955-07-01,1.94,0.3,3.485830748
1955-10-01,2.36,1.2,3.436543061
1956-01-01,2.48,0.0,2.393335659
1956-04-01,2.69,2.7,2.572779825
1956-07-01,2.81,4.2,1.812764091
1956-10-01,2.93,3.5,2.74962531
1957-01-01,2.93,3.3,2.645298492
1957-04-01,3.00,3.5,1.64685359
1957-07-01,3.23,3.6,1.81799511
1957-10-01,3.25,1.9,-0.053873195
1958-01-01,1.86,4.8,-3.512406314
1958-04-01,0.94,2.7,-3.709058192
1958-07-01,1.32,-0.2,-2.277128384
1958-10-01,2.16,0.4,-0.856450701
1959-01-01,2.57,0.7,0.149151724
1959-04-01,3.08,0.7,1.461775493
1959-07-01,3.58,2.1,0.560469331
1959-10-01,3.99,2.4,-0.135286819
1960-01-01,3.93,0.4,1.080376437
1960-04-01,3.70,2.4,-0.457740319
1960-07-01,2.94,0.2,-0.970793201
1960-10-01,2.30,2.6,-3.251954111
1961-01-01,2.00,0.8,-3.577775398
1961-04-01,1.73,-0.1,-2.863925768
1961-07-01,1.68,1.6,-1.966472743
1961-10-01,2.40,0.6,-1.027791772
1962-01-01,2.46,1.6,-0.284678751
1962-04-01,2.61,1.5,-0.425344443
1962-07-01,2.85,1.2,-0.259815172
1962-10-01,2.92,1.0,-0.995459576
1963-01-01,2.97,1.3,-0.977003621
1963-04-01,2.96,0.7,-0.940004027
1963-07-01,3.33,2.5,0.147406615
1963-10-01,3.45,1.1,-0.296167773
1964-01-01,3.46,1.7,0.702797771
1964-04-01,3.49,0.6,0.684447775
1964-07-01,3.46,0.9,1.134344857
1964-10-01,3.58,1.9,0.348968316
1965-01-01,3.98,1.2,1.626525506
1965-04-01,4.08,2.6,1.79679361
1965-07-01,4.08,1.2,2.881493241
1965-10-01,4.17,2.1,4.044411771
1966-01-01,4.56,3.8,5.32817869
1966-04-01,4.91,3.7,4.545267316
1966-07-01,5.41,3.5,4.259434696
1966-10-01,5.56,3.3,3.962728992
1967-01-01,4.82,1.0,3.724644589
1967-04-01,3.99,2.4,2.670007127
1967-07-01,3.89,4.1,2.499771866
1967-10-01,4.17,4.5,2.124543849
1968-01-01,4.79,4.0,3.016228793
1968-04-01,5.98,4.0,3.555356201
1968-07-01,5.95,5.5,3.196188082
1968-10-01,5.92,5.0,2.451861633
1969-01-01,6.57,5.0,2.922243434
1969-04-01,8.33,6.5,2.207253818
1969-07-01,8.98,5.6,1.912718241
1969-10-01,8.94,6.3,0.525260931
1970-01-01,8.57,6.6,-0.472706651
1970-04-01,7.89,5.7,-1.131396102
1970-07-01,6.71,4.2,-0.976057195
1970-10-01,5.57,5.9,-2.787161521
1971-01-01,3.86,3.4,-0.833712216
1971-04-01,4.57,3.7,-1.029335155
1971-07-01,5.48,4.0,-0.949312628
1971-10-01,4.75,3.0,-1.460004107
1972-01-01,3.55,3.3,-0.39208508
1972-04-01,4.30,2.6,1.093964541
1972-07-01,4.74,3.2,1.26935396
1972-10-01,5.15,4.2,2.159901881
1973-01-01,6.54,6.4,3.814093708
1973-04-01,7.82,8.6,4.064568156
1973-07-01,10.56,8.1,2.694873621
1973-10-01,10.00,10.5,2.778986743
1974-01-01,9.32,12.4,1.044591982
1974-04-01,11.25,11.1,0.407658188
1974-07-01,12.09,11.7,-1.402577371
1974-10-01,9.35,12.9,-2.636985071
1975-01-01,6.30,8.8,-4.680722949
1975-04-01,5.42,4.9,-4.764765945
1975-07-01,6.16,8.3,-3.850503007
1975-10-01,5.41,7.6,-3.290898774
1976-01-01,4.83,4.7,-1.837928836
1976-04-01,5.20,3.6,-1.88425632
1976-07-01,5.28,6.5,-2.131955238
1976-10-01,4.87,5.9,-2.211052985
1977-01-01,4.66,7.5,-1.856393629
1977-04-01,5.16,7.2,-0.76347642
1977-07-01,5.82,5.6,0.186853254
1977-10-01,6.51,6.0,-0.66442378
1978-01-01,6.76,7.1,-1.21231682
1978-04-01,7.28,9.4,1.703335399
1978-07-01,8.10,9.6,1.812125931
1978-10-01,9.58,9.6,2.248735975
1979-01-01,10.07,10.5,1.512605182
1979-04-01,10.18,13.3,0.76167431
1979-07-01,10.95,13.5,0.718494114
1979-10-01,13.58,13.3,0.266688805
1980-01-01,15.05,16.7,-0.030285522
1980-04-01,12.69,14.2,-2.62406085
1980-07-01,9.84,7.7,-3.155513523
1980-10-01,15.85,11.7,-1.762158502
1981-01-01,16.57,11.5,-0.357170506
1981-04-01,17.78,8.6,-1.699998148
1981-07-01,17.58,11.6,-1.163453046
1981-10-01,13.59,6.7,-2.963950686
1982-01-01,14.23,3.6,-5.275306407
1982-04-01,14.51,5.9,-5.596883987
1982-07-01,11.01,7.1,-6.781593286
1982-10-01,9.29,1.2,-7.56452741
1983-01-01,8.65,0.3,-7.071121596
1983-04-01,8.80,4.7,-5.64879508
1983-07-01,9.46,4.0,-4.512984256
1983-10-01,9.43,4.1,-3.316933627
1984-01-01,9.69,5.8,-2.273907462
1984-04-01,10.56,3.8,-1.476765097
1984-07-01,11.39,3.5,-1.44637781
1984-10-01,9.27,3.5,-1.565561085
1985-01-01,8.48,3.7,-1.534347765
1985-04-01,7.92,3.7,-1.588654636
1985-07-01,7.90,2.5,-0.996297792
1985-10-01,8.10,4.1,-1.16519225
1986-01-01,7.83,2.1,-1.131364675
1986-04-01,6.92,-1.9,-1.565460526
1986-07-01,6.21,2.5,-1.488043114
1986-10-01,6.27,2.8,-1.818025897
1987-01-01,6.22,4.9,-1.928909582
1987-04-01,6.65,4.6,-1.695579498
1987-07-01,6.84,4.3,-1.660235189
1987-10-01,6.92,3.8,-0.779630691
1988-01-01,6.66,3.2,-1.07274467
1988-04-01,7.16,4.7,-0.569914972
1988-07-01,7.98,5.0,-0.777719835
1988-10-01,8.47,4.4,-0.240712044
1989-01-01,9.44,4.6,-0.005995297
1989-04-01,9.73,6.6,-0.01527069
1989-07-01,9.08,3.2,-0.038132319
1989-10-01,8.61,4.1,-0.586435373
1990-01-01,7.899419384,7.1,-0.220742617
1990-04-01,7.859209347,4.0,-0.559487164
1990-07-01,7.531875658,7.1,-1.166732625
1990-10-01,7.095786815,7.0,-2.728747596
1991-01-01,6.08432636,3.0,-3.824721556
1991-04-01,5.544177624,2.4,-3.654358503
1991-07-01,5.226711947,3.1,-3.743431767
1991-10-01,4.317467966,3.4,-3.984614068
1992-01-01,3.553149077,2.7,-3.382484406
1992-04-01,3.324781015,3.1,-2.897339013
1992-07-01,3.01061534,3.1,-2.518558887
1992-10-01,2.896343248,3.6,-2.090111413
1993-01-01,2.870584342,2.9,-2.538940788
1993-04-01,3.050100216,2.9,-2.585861366
1993-07-01,3.068287283,1.9,-2.7412364
1993-10-01,3.124500916,3.4,-2.027052329
1994-01-01,3.387175558,2.0,-1.700157008
1994-04-01,4.393807479,2.3,-0.993005054
1994-07-01,4.840378715,3.8,-1.056520175
1994-10-01,6.11849548,2.3,-0.567466521
1995-01-01,6.103063901,3.0,-0.863259891
1995-04-01,5.799737991,3.3,-1.220195184
1995-07-01,5.524704693,2.0,-1.029567197
1995-10-01,5.415675522,2.2,-1.02018429
1996-01-01,5.074879267,3.6,-0.948695687
1996-04-01,5.201332088,3.5,-0.012916327
1996-07-01,5.319374851,2.3,0.109210572
1996-10-01,5.211460827,3.5,0.323578626
1997-01-01,5.330607376,2.5,0.103148166
1997-04-01,5.379112566,0.9,0.85016712
1997-07-01,5.425936722,2.0,1.15290022
1997-10-01,5.420428048,2.2,1.040266421
1998-01-01,5.378321983,0.8,1.04392031
1998-04-01,5.345880949,1.3,0.95321991
1998-07-01,5.069714839,2.1,1.176024263
1998-10-01,4.720644696,1.9,1.749104339
1999-01-01,4.778213176,1.5,1.64918058
1999-04-01,4.804064448,3.0,1.371726792
1999-07-01,5.097542564,3.0,1.622990118
1999-10-01,5.576823566,3.0,2.251112554
2000-01-01,5.92147993,4.0,1.55318152
2000-04-01,6.415507168,3.2,2.335801568
2000-07-01,6.439336491,3.7,1.477617478
2000-10-01,6.357132172,2.9,1.154429783
2001-01-01,4.699994938,3.9,-0.032355894
2001-04-01,3.442860303,2.8,-0.302376069
2001-07-01,2.683843905,1.1,-1.525355067
2001-10-01,1.127546064,-0.3,-2.016105396
2002-01-01,1.105864038,1.3,-1.86948882
2002-04-01,1.024809776,3.2,-1.962297582
2002-07-01,1.387134528,2.2,-2.196551172
2002-10-01,1.237186016,2.4,-2.707560689
2003-01-01,1.077084552,4.2,-2.812942442
2003-04-01,1.130655677,-0.7,-2.61696267
2003-07-01,0.842706784,3.0,-1.593068683
2003-10-01,0.815976016,1.5,-1.116579344
2004-01-01,0.802485117,3.4,-1.259567663
2004-04-01,1.087274787,3.2,-1.18483275
2004-07-01,1.66378695,2.6,-0.939668806
2004-10-01,2.322945337,4.4,-0.644507573
2005-01-01,2.827004648,2.0,-0.226710539
2005-04-01,3.1798433,2.7,-0.423497291
2005-07-01,3.781990048,6.2,-0.174845618
2005-10-01,4.296286097,3.8,-0.161916836
2006-01-01,4.634919091,2.1,0.566222253
2006-04-01,5.07995592,3.7,0.2274537
2006-07-01,5.194487934,3.8,-0.157404508
2006-10-01,5.149656452,-1.6,0.186537721
2007-01-01,5.150683367,4.0,-0.061401888
2007-04-01,5.108882355,4.6,0.02778474
2007-07-01,4.649988368,2.6,0.088428382
2007-10-01,3.892988355,5.0,0.221872705
2008-01-01,2.222750213,4.4,-0.816010118
2008-04-01,1.940957514,5.3,-0.741325299
2008-07-01,2.029898945,6.3,-1.695822939
2008-10-01,1.302976211,-8.9,-4.264542615
2009-01-01,0.745842271,-2.7,-5.73694795
2009-04-01,0.21826708,2.1,-6.197670576
2009-07-01,-0.268722125,3.5,-6.129647852
2009-10-01,-0.413001335,3.2,-5.322768152
2010-01-01,-0.489579212,0.6,-5.224349103
2010-04-01,-0.497138678,-0.1,-4.601072052
2010-07-01,-0.694639405,1.2,-4.174650366
2010-10-01,-0.94533032,3.3,-3.993875052
2011-01-01,-1.03133222,4.3,-4.567490403
2011-04-01,-1.10952481,4.6,-4.200183221
2011-07-01,-1.323944826,2.6,-4.585410762
2011-10-01,-1.462403608,1.8,-3.798685786
2012-01-01,-1.419184805,2.3,-3.392747714
2012-04-01,-1.203435594,0.8,-3.347749764
2012-07-01,-1.265968017,1.8,-3.605132613
2012-10-01,-1.397239924,2.7,-3.88971751
2013-01-01,-1.406898194,1.6,-3.411620308
2013-04-01,-1.254071465,-0.4,-3.698945131
2013-07-01,-1.663674422,2.2,-3.331762925
2013-10-01,-1.994760238,1.5,-2.955223151
2014-01-01,-2.514265023,2.5,-3.660964367
2014-04-01,-2.922003333,2.1,-2.742490608
2014-07-01,-2.844799305,1.0,-1.9605502
2014-10-01,-2.663600571,-1.0,-1.833079226
2015-01-01,-2.01694929,-2.6,-1.320302559
2015-04-01,-1.476872757,2.8,-1.078373477
2015-07-01,-0.98363851,1.5,-1.142917183
2015-10-01,-0.093353595,0.0,-1.402627726
2016-01-01,0.478120447,-0.1,-1.256831419
2016-04-01,0.436663714,2.9,-1.351446103
2016-07-01,0.476818567,1.9,-1.210151286
2016-10-01,0.458045564,2.6,-0.981070337
2017-01-01,0.468747981,2.8,-0.812392098
2017-04-01,0.977184519,0.4,-0.787945415
2017-07-01,1.096835133,2.2,-0.476952382
2017-10-01,1.28286962,3.1,0.048826064
2018-01-01,1.530608362,3.2,0.540043843
2018-04-01,1.788102855,2.2,0.758687782
2018-07-01,2.031601225,2.1,0.825185426
2018-10-01,2.411133228,1.3,0.693231429
2019-01-01,2.450959243,0.9,0.955440066
2019-04-01,2.336306125,3.0,0.86547917
2019-07-01,2.050284439,1.8,1.042963924
2019-10-01,1.634296972,2.4,1.17189383
2020-01-01,1.24459009,1.2,-0.551277837
2020-04-01,0.460336994,-3.5,-10.42560199
